AGENCY_NAME,ORGANIZATION_ADDRESS,NEIGHBOURHOOD,OFFICE_PHONE,EMAIL,WEBSITE,ELIGIBILITY,DESCRIPTION_SERVICE,APPLICATION,LANGUAGES,ACCESSIBILITY,HOURS,LEGAL_STATUS,DATE_UPDATED
Hong Fook Mental Health Association,"3320 Midland Ave, Ste 201, Toronto, ON     M1V 5E6","Steeles, 116",416-493-4242,info@hongfook.ca,"<a href=""http://www.hongfook.ca"" target=""_blank"">www.hongfook.ca</a>","Community education -- open to all * all other programs -- consumers/survivors and their families of Cambodian, Chinese, Korean or Vietnamese descent who are over 16 years and have difficulty accessing other mental health services * Supportive Housing Program -- for consumer/survivors who are able to live independently with support","Client services -- information and referral, short term supportive counselling and case management * advocacy * leadership and life skills training * Supportive Housing Program - see eligibility above * psychosocial recreation and education activities * peer support and self help groups * support groups for family members * volunteer development<br> <br> 

General community education -- holistic health education * mental health promotion * consultation and educational services to agencies and professionals on ethno-racial mental health issues","Call 416-493-4242 ext 0 for information * supportive housing -- apply through Access Point, call 1-888-640-1934 or visit www.theaccesspoint.ca to download application","English , Chinese (Cantonese) , Chinese (Mandarin) , Khmer , Korean , Vietnamese","Wheelchair accessible - call for details , Street parking close to entrance",Mon-Fri 9 am-5 pm,"(50) Non Profit , (51) Registered Charity",2016-01-11T05:00:00
Centre for Addiction and Mental Health,"1709 St Clair Ave W, Toronto, ON     M6N 1J2","Weston-Pellam Park, 91",416-535-8501 ext 77300,,"<a href=""http://www.camh.ca"" target=""_blank"">www.camh.ca</a>",Young adults experiencing early signs of psychosis,"First Episode LEARN -- includes General Education Development (GED), recovery and family programs",Psychiatrist referral -- form available online * must have a psychiatrist and case manager,"English , Access to trained interpreters available for French and other languages","Wheelchair accessible main entrance, assistance needed with door",Administration -- Mon-Fri 9 am-5 pm * programs -- call for details,"(50) Non Profit , (51) Registered Charity",2015-02-25T05:00:00
Humewood House Association,"40 Humewood Dr, Toronto, ON     M6C 2W4","Humewood-Cedarvale, 106",416-651-5657,information@humewoodhouse.com,"<a href=""http://www.humewoodhouse.com"" target=""_blank"">www.humewoodhouse.com</a>","Pregnant teens and young mothers 13-21 years who need support with housing, parenting, relationships, returning to school","<b>Counselling</b> -- individual and family counselling *  support groups * advocacy * information and referral * volunteer mentoring program<br>
<br>
<b>Food Bank</b> -- Monday-Friday 9 am-4 pm, by appointment only * clothing for infants and toddlers, household items<br>
<br>
<b>Education program</b> -- for residents and pregnant or parenting youth * high school classrooms on site * life skills * counselling * licensed infant centre * in partnership with Toronto District School Board<br>
<br>
<b>Residence</b> -- prenatal and postnatal services * individual and family counselling * life skills, parenting skills * capacity 16 (10 young mothers, 6 infants)<br>
<br> 
<b>Transitional and Supportive housing</b> -- apartments for young parents 16-19 years * 27 units * maximum stay 4 years * rent geared to income * support services * in partnership with Toronto Community Housing Corporation (see separate entry)",Call Intake Counsellor,English,Not Accessible,Office -- Mon-Fri 9 am-4 pm,"(50) Non Profit , (51) Registered Charity",2014-08-11T04:00:00
YouthLink,"747 Warden Ave, Toronto, ON     M1L 4A8","Clairlea-Birchmount, 120",416-967-1773,info@youthlink.ca,"<a href=""http://www.youthlink.ca"" target=""_blank"">www.youthlink.ca</a>","Youth 12-21 years, their parents/caregivers * may vary by program","Individual, family and group counselling * residential treatment * parenting programs * outreach * school-based prevention programs * homework club * community education and development<br>
<br>
<b>Family Support Program</b> -- case management, individual, family and group counselling for youth with developmental disabilities<br>
<br>
<b>Residential Treatment Programs</b> -- residential treatment home for young women 14-18 years, capacity 12 * 3 co-op residences for young women 16-21 years * co-op residence for young men 16-21 years<br>
<br>
<b>Walk-in Counselling Service</b> -- addresses issues such as family conflict or problems in relationships with family/parents, suicidal thoughts, depression, anger and self-harming behaviour, abuse, criminal behaviour, sexual orientation, substance abuse, racial/cultural difficulties<br>
<br>
<b>Pathways to Education (Scarborough Village), 647-351-0091</b> -- academic and financial support for high school students","Call, email or visit website for information * professional or self referral -- call intake 416-967-1773 ext 222 * <b>Walk-in Counselling Service</b> -- drop in, no appointment necessary",English,"Designated parking at entrance , Wheelchair accessible automatic main entrance , Barrier-free washroom including door and stall","Mon-Wed 9 am-8 pm, Thu 9 am-6:30 pm, Fri 9 am-5 pm * <b>Walk-in Counselling Service</b> -- Wednesday 12 noon-6:30 pm","(50) Non Profit , (51) Registered Charity",2014-05-14T04:00:00
Child Development Institute,"25 Imperial St, 4th Fl, Toronto, ON     M5P 1B9","Yonge-Eglinton, 100",416-603-1827,info@childdevelop.ca,"<a href=""http://www.childdevelop.ca"" target=""_blank"">www.childdevelop.ca</a>",Children and youth 8-18 years with social and emotional problems related to specific learning disabilities * must have recent psychological assessment diagnosing a learning disability,"Children's mental health centre * assessment, planning, case coordination * treatment groups for children and adolescents * individual and family counselling * parent support groups * workshops * consultation to schools, social agencies and community groups * <b>Camp Towhee</b> -- residential therapeutic summer camp for children and youth 10-18 years",Call or email for intake package * visit website for information,"English , Interpretation for other languages may be arranged",Not Accessible,"Mon-Thu 9 am-8 pm, Fri 9 am-5 pm * evening hours during July and August by appointment only","(50) Non Profit , (51) Registered Charity",2015-06-09T04:00:00
Delisle Youth Services,"Thistletown Collegiate, 20 Fordwich Cres, Toronto, ON     M9W 2T4","Rexdale-Kipling, 4",416-394-3882,dayprogram@delisleyouth.org,"<a href=""http://www.delisleyouth.org"" target=""_blank"">www.delisleyouth.org</a>",Youth 14-19 years with mental health problems who are unable to function in the mainstream school system,Educational and therapeutic learning experience * academic program in conjunction with Toronto District School Board (see separate entry) * individual counselling * social and recreation activities * family support * follow up * summer program,Call or email,"English , French - counselling services in partnership with Centre Francophone (see separate entry)",Unknown,"Mon-Tue, Thu-Fri during school hours * also Wed morning","(50) Non Profit , (51) Registered Charity",2015-11-26T05:00:00
Jamaican Canadian Association,"995 Arrow Rd, Toronto, ON     M9M 2Z5","Humbermede, 22",416-746-5772,info@jcaontario.org,"<a href=""http://www.jcaontario.org"" target=""_blank"">www.jcaontario.org</a>",African-Canadian or Caribbean persons or appreciation of Jamaican heritage,"Educational, vocational, immigration and employment counselling * settlement services * family orientation and adjustment * housing information and assistance * assistance in filling out forms * social and recreation programs for seniors * young offenders rehabilitation program<br><br>

Newcomer Settlement Program -- for newcomers or refugee claimants * information and referral, and counselling on issues of employment, housing, education, family sponsorship and other services<br><br>

Leaders in Partnership (LIP) -- for children 7-14 years with serious behavioural problems at risk of suspension from school * 10-week recreational program addressing the social and emotional needs of children in developing a more positive attitude towards school and their community* in collaboration with schools and Toronto Police 31 Division<br><br>

Kujichaguilia Club (K-Club) -- for young offenders or youth at risk of offending, 16-26 years, of Afro Caribbean and other ethno-cultural heritage * culturally-attuned staff provide individual counselling, group support, anger management, conflict resolution to help participants integrate into family and community life<br><br>

Parenting Program -- for individuals and families * individual support, family mediation, mobile crisis counselling, and crisis intervention * referrals to community resources, support dealing with custody issues, visitations, home assessments, family court parental assessments and advocacy<br><br>

Youth Outreach Worker -- for children and youth 12-21 years * engages and connects youth with services * collaborates with other community resources<br><br>

Violence Against Women -- support to women and children 16 years and older who are experiencing or have experienced domestic violence or incest * individual, couple, group and crisis counselling * legal and parenting support * also safety planning and lifestyle management <br><br>

Caribbean Canadian Seniors Club (CCSC) -- members meet Tuesdays and Thursdays * social interaction and recreational activities <br><br>

Saturday Morning Tutorials Program (SMTP) -- tutoring for students in grades 1-12",Call or drop in,"English , Akan , Twi","Designated parking at entrance , Wheelchair accessible automatic main entrance , Barrier-free washroom including door and stall","Mon-Fri 9 am-4:30 pm, Sat 10 am-4:30 pm","(50) Non Profit , (51) Registered Charity",2014-06-27T04:00:00
Jessie's -- The June Callwood Centre for Young Women,"205 Parliament St, Toronto, ON     M5A 2Z4","Moss Park, 73",416-365-1888,mail@jessiescentre.org,"<a href=""http://www.jessiescentre.org"" target=""_blank"">www.jessiescentre.org</a>","Pregnant young women and young mothers and fathers, 18 years and under and their children","Counselling and referral on sexuality, birth control, abortion, adoption, pregnancy, parenting, finances, housing * advocacy * peer education * prenatal and postnatal classes for women or couples * prenatal nutrition program * <b>Food for Two</b> -- teaches pregnant youth about nutrition * breastfeeding support group * parenting groups * Intensive Parenting Program * Well Baby Clinic * lunch and snacks, emergency supplies, TTC tokens, condoms * high school credit courses * caregiver and child drop-in Monday-Thursday * parent relief * 24 hour infant respite care * swap shop with maternity wear and infant clothing * Community Education Program * supportive atmosphere * all services confidential * volunteer opportunities<br><br>

Access to Jessie's Non-Profit Homes -- subsidized family housing for women under 19 years, and their children and partners * 16 units * located at 20 Anna Hilliard Lane",Contact counsellor for appointment,"English , Chinese (Cantonese) , Chinese (Mandarin) , Spanish",Wheelchair accessible building including main entrance and barrier free washrooms * street parking close to entrance,"Mon-Tue 9 am-6:30 pm, Wed-Thu 9 am-5 pm * Fri 9 am-2 pm administration and crisis only","(50) Non Profit , (51) Registered Charity",2015-07-16T04:00:00
Hospital for Sick Children,"555 University Ave, Toronto, ON     M5G 1X8","Bay Street Corridor, 76",416-813-5804,,"<a href=""http://www.sickkids.ca/AdolescentMedicine/What-We-Do/index.html"" target=""_blank"">www.sickkids.ca/AdolescentMedicine/What-We-Do/index.html</a>",Children and youth 18 years and under,"<b>Eating Disorders Program</b> -- diagnosis and treatment * inpatient and outpatient programs<br><br>
<b>Substance Abuse Day Treatment Program</b> -- harm reduction approach * individual and group treatment * academic program<br><br>
<b>Young Families Program</b> -- for teen parents and their children * well baby care * nutrition and feeding * parenting education",Medical referral required,"English , Interpretive services","Wheelchair accessible building including main entrance and barrier free washrooms * braille elevator, lowered buttons",,"(50) Non Profit , (51) Registered Charity",2015-12-29T05:00:00
Family Outreach and Response Program,"Easttown Centre Plaza, 2660 Eglinton Ave E, Scarborough, ON     M1K 2S3","Eglinton East, 138",416-482-4103 ext 501,marian_dalal@familymentalhealthrecovery.org,"<a href=""http://www.familymentalhealthrecovery.org"" target=""_blank"">www.familymentalhealthrecovery.org</a>",Family and friends of people 14-35 years experiencing psychosis,Family initiative * individual support * home visits * information and referral * support groups * educational events * community work,Call for appointment,"English , Somali , Tamil","Designated parking at entrance , Wheelchair accessible automatic main entrance , Easy access to elevator , Elevator with braille and voice/tone features , Dedicated accessible washroom with all features",Mon-Fri 9 am-5 pm * voice mail -- calls returned within 24 hours,"(50) Non Profit , (51) Registered Charity",2015-07-31T04:00:00
Turning Point Youth Services,"95 Wellesley St E, Toronto, ON     M4Y 2X9","Church-Yonge Corridor, 75",416-925-9250,info@turningpoint.ca,"<a href=""http://www.turningpoint.ca"" target=""_blank"">www.turningpoint.ca</a>","Residential treatment, mental health counselling and other nonresidential services -- youth 12-18 years with social, emotional and behavioural difficulties, and their families * some programs up to 24 years * see specific programs for details","Residential and nonresidential programs * structured, individualized treatment * support and counselling * Youth Justice Services<br><br>

<b>Clifton House, Withrow House, Woodycrest House</b> -- residences * individual and family therapy * life skills * client focused * self management skills * child welfare and young offender residents * rents geared to income * combined capacity 24<br><br>

<b>Concurrent Disorders Program</b> -- short term residential program for young men 16-24 years * support and stabilization * development of life skills and family and community support networks * preparation for longer term treatment * assistance with securing permanent housing * intensive case management * follow up * capacity 6<br><br>

<b>Counselling Services</b> -- mental health counselling and assessment for youth 12-18 years * individual, family and group therapy * self or professional referral * referrals to TPYS residential programs or community-based services<br><br>

<b>Project Going Home</b> -- offers individuals the means necessary to return to their home communities * travel expenses * food * supportive counselling and referrals to local community supports * community or self referrals<br><br>

<b>Redwood House</b> -- transitional residential program for young men 16-24 years, able to live cooperatively and manage a personal budget * some support and instrumental assistance * monetary contribution required * capacity 8 * referral from agency, community or self referral<br><br>

<b>Shelter</b> -- short term emergency residence for young men 16-24 years * food * supportive counselling * referrals * evening and day programming * housing support * employment and community support * capacity 35<br><br>

<b>The Classroom (Section 23)</b> -- educational services for residents and nonresidents * individualized attention to academic and behavioural difficulties * life skills * drug abuse * family intervention * ethnospecific counselling * aftercare<br><br>

<b>Turning Point Program</b> -- court diversion program for youth 12-18 years with a probation order to attend * emphasis on developing positive social, cognitive, problem solving and decision making skills * conflict resolution<br><br>

<b>Youth Court Mental Health Program</b> -- court diversion program for youth 12-17 years with a mental health disorder * counselling, assessment, case management, referral and treatment * court and probation referral only * in partnership with Griffin Centre -- see separate entry","Call, email or visit website for information * residential treatment, counselling and other nonresidential services -- contact Intake at 416-925-9250 ext 224 for details","English , Access to French Language Services , Access to interpreters for other languages","Wheelchair accessible main entrance, assistance needed with door , Barrier-free washroom , Parking close to entrance , Residences not accessible","Mon-Fri 8:30 am-4:30 pm,  also Tue 4:30 pm-8 pm * evening therapy appointments available * <b>shelter</b> -- Mon-Sun 24 hours","(50) Non Profit , (51) Registered Charity",2015-05-05T04:00:00
Native Child and Family Services of Toronto,"30 College St, Toronto, ON     M5G 1K2","Bay Street Corridor, 76",416-969-8510,info@nativechild.org,"<a href=""http://www.nativechild.org"" target=""_blank"">www.nativechild.org</a>","Aboriginal people, including First Nations, Inuit and Mtis * children in need of protection under the Child and Family Services Act <br><br>

<b>PAR program</b> -- offenders 18 years and older, ordered by the court to attend the program in response to a criminal charge involving domestic violence","Child protection services * family violence treatment and prevention including child sexual abuse * individual and family counselling * programs for women in abusive relationships * member agency of Support Services Network for Male Survivors in Ontario * children's mental health program * recruitment, education and support for foster and adoptive parents * addiction and mental health case management * early intervention/care planning * aftercare<br><br>

<b>Partner Assault Response (PAR)</b> -- 12 week group education and counselling program on domestic violence and non-abusive ways of resolving conflict * victims/partners of the offender provided with support including safety planning, referrals to community resources, and information on offenders progress <br><br>

<b>Prevention and Support Programs</b> -- family support and development * parenting circles * community kitchen * clothing bank <br><br>

<b>Youth Programs</b> -- drop-in for youth 16-24 years * outreach * counselling * support * transitional housing * substance abuse prevention * HIV prevention * social, recreation and cultural activities <br> <br>

<b>Educational Programs</b> -- Aboriginal Ontario Early Years Centre -- local lead agency for Ontario Early Years Centres * education and support for families with children birth-6 years * summer day camp and residential camp * GED program at Native Learning Centre (83 Alexander Street, tel. 416-393-0358) and Scarborough office -- for youth 18-20 years <br><br>
See branch records for additional information","Drop in or call <br><br>

<b>PAR program</b> -- call to schedule an intake/assessment meeting","English , Ojibway , interpreters for other Native languages","Wheelchair accessible automatic main entrance , Easy access to elevator , Elevator with braille and voice/tone features , Barrier-free washroom including door and stall , Dedicated accessible washroom with all features",Mon-Fri 9 am-5 pm * evening appointments and programs,"(50) Non Profit , (51) Registered Charity",2016-01-28T05:00:00
Children's Mental Health Ontario,"40 St Clair Ave E, Ste 309, Toronto, ON     M4T 1M9","Rosedale-Moore Park, 98",416-921-2109,info@cmho.org,"<a href=""http://www.kidsmentalhealth.ca"" target=""_blank"">www.kidsmentalhealth.ca</a>",,"Coordination and communication among children's mental health centres * <b>Find a Centre</b> -- online directory of accredited children's mental health centres * <b>Links Directory</b> -- online listing of website resources * information on children's mental health for children and youth, parents and caregivers, and professionals * public awareness","Call, email or visit website for information",English,"Wheelchair accessible automatic main entrance , Easy access to elevator , Barrier-free washroom including door and stall , Street parking",Mon-Fri 9 am-5 pm,"(50) Non Profit , (51) Registered Charity",2015-02-09T05:00:00
Bayview Community Services,"250 Consumers Rd, Ste 805, Toronto, ON     M2J 4V6","Henry Farm, 53",416-495-7778,intake@bayviewservices.ca,"<a href=""http://www.bayviewservices.ca"" target=""_blank"">www.bayviewservices.ca</a>","Men and women 16-65 years with a history of serious mental health issues * group homes -- no recent history (previous 6 months) of substance abuse or violent behaviour, no criminal record * case management -- no history of uncontrollable violent behaviour * apartments -- case management clients who are eligible for Toronto Community Housing Corporation (TCHC) housing","Supportive housing with life skills teaching * discharge planning * follow up<br> <br> 

<b>Bayview House</b> -- medium support co-ed group home * capacity 10 * shared bedrooms * staffed weekdays and some weekends * length of stay indefinite<br> <br> 

<b>Bayview Cooperative</b> -- low support co-ed group home * capacity 6 * single rooms * staff support twice weekly * length of stay indefinite<br> <br> 

<b>Bayview Apartments</b> -- permanent housing in North York and Scarborough for case management clients * partnership with TCHC * capacity 65<br> <br> 

<b>Bayview Case Management Services</b> -- offered with or without a housing component","Professional referral required * contact Intake Coordinator at 416-495-7778 ext 22, email intake@bayviewservices.ca * <b>supportive housing or case management</b> -- apply through Access Point, call 1-888-640-1934 or visit www.theaccesspoint.ca to download application","English , Assyrian, Farsi, Hebrew, Russian, Ukrainian available for case management services","Designated parking at entrance - office , Street parking , Wheelchair accessible automatic main entrance - office , Easy access to elevator - office , Braille elevator with lowered buttons , Barrier-free washroom including door and stall - office , Group",,"(50) Non Profit , (51) Registered Charity",2014-04-22T04:00:00
Ontario Institute for Studies in Education of the University of Toronto,"252 Bloor St W, Rm 7-296, Toronto, ON     M5S 1V6","Annex, 95",416-978-0620,oiseclinic@utoronto.ca,"<a href=""http://oise.utoronto.ca/psychservices"" target=""_blank"">oise.utoronto.ca/psychservices</a>","Adults and adolescents with interpersonal, emotional or learning problems * children with learning and/or academic and/or social and emotional problems","<b>Therapeutic services</b> -- counselling for adults, parents and adolescents * individual psychotherapy -- relationship problems, depression, anxiety, sexual abuse, eating disorders * <b>assessment services</b> -- psychological, educational, learning disabilities for  adults, adolescents and children * literacy centre for children -- remedial and corrective reading, tutoring * clients are seen by supervised graduate students",No referral required,English,"Designated parking at entrance , Wheelchair accessible automatic main entrance , Elevator with braille and voice/tone features , Barrier-free washroom including door and stall - main floor","September-May -- Mon-Fri 10 am-6 pm, after hours by appointment * <b>June-August -- no service</b>",(50) Non Profit,2015-09-29T04:00:00
"University Health Network, Toronto Western Hospital","399 Bathurst St, East Wing, 9th Fl, Toronto, ON     M5T 2S8","Trinity-Bellwoods, 81",416-603-5349,,"<a href=""http://www.uhn.ca"" target=""_blank"">www.uhn.ca</a>",Chinese-speaking persons with mental health problems,"Assessment * culturally and linguistically appropriate outpatient treatment and case management *  pharmacotherapy, psychotherapy and counselling * referral to health and social service agencies * public education
<br>
<br><b>Early Intervention in Psychosis Program, 416-603-5071</b> -- for persons 16-45 years experiencing a first episode of psychosis, including hallucinations and hearing voices",Physician referral required * self referrals accepted for Early Intervention in Psychosis Program only,"English , Chinese (Cantonese) , Chinese (Mandarin)",Wheelchair accessible building including main entrance and barrier free washrooms * designated parking,Mon-Fri 9:30 am-5:30 pm,"(50) Non Profit , (51) Registered Charity",2014-02-03T05:00:00
Oolagen Youth Mental Health,"65 Wellesley St E, Ste 500, Toronto, ON     M4Y 1G7","Church-Yonge Corridor, 75",416-395-0660,contact@oolagen.org,"<a href=""http://www.oolagen.org"" target=""_blank"">www.oolagen.org</a>","Youth 13-18 years, and their families","Individual, family and group therapy for a variety of problems, for youth 13-19 years and their families * assessment and treatment for adolescents * services for physically and sexually abused adolescents, and for adolescent perpetrators <br> <br> 

<b>Intensive Service</b> -- intensive counselling for high risk children and youth up to 18 years and their families<br> <br>

<b>School-Based Mental Health Services</b> -- primarily for adolescents at Forest Hill Collegiate, Marc Garneau Collegiate and Parkdale Collegiate<br> <br> 

<b>What's Up Walk-In Counselling Clinic</b> -- for youth 13-18 years and their families * single session counselling services by mental health professionals on issues of concern, such as school problems, violence, grief and death, family conflict, separation and divorce, alcohol and drug use, depression, eating disorders, sexuality, and suicidal and self-harming behaviours * referrals to services in the community * in partnership with East Metro Youth Services and Yorktown Child and Family Centre -- see separate entries<br> <br>

<b>Wraparound Program</b> -- for street youth and young mothers at risk up to 24 years * helps client assemble a team of professional and lay people to develop and monitor a treatment plan","Call or visit website for information * What's Up Walk-In Counselling Clinic -- no appointment required, sessions booked on a first come first served basis",English,"Wheelchair accessible automatic main entrance , Easy access to elevator - lowered buttons , Wheelchair accessible washroom, assistance needed with door - sink not roll-under and dispensers are high","Mon 9 am-7 pm, Tue-Thu 9 am-8 pm, Fri 9 am-5 pm * <b>What's Up Walk-In Counselling Clinic</b> -- Mon, Thu-Fri 9 am-1pm (last appointment 11:30 am), Tue 12 noon-8 pm (last appointment 6:30 pm), Wed 3 pm-6 pm (last appointment 4:30 pm)","(50) Non Profit , (51) Registered Charity",2015-06-01T04:00:00
Riverdale Immigrant Women's Centre,"Riverdale Hub, 1326 Gerrard St E, Toronto, ON     M4L 1Z1","Greenwood-Coxwell, 65",416-465-6021,reception.riwc@gmail.com,"<a href=""http://www.riwc.ca"" target=""_blank"">www.riwc.ca</a>","Adults 16 years and older * focus on immigrant women and their families * Essential Pathways to Employment Program -- all Ontario Works (OW) recipients, men and women","Information and referral * counselling -- family, group, crisis and assaulted women * family violence education * advocacy * settlement services -- referrals to legal, housing, health, immigration and employment services * form filling * life skills * job search skills * community economic development<br><br>

<b>Essential Pathways to Employment Program (EPE)</b> -- 8 week program * in-depth skills analysis * action plan development * skills and workplace training * childminding and transportation assistance available through Toronto. Employment and Social Services -- see separate entry<br><br>

<b>Violence Against Women/Youth Program</b> -- individual counselling for crisis, abuse, assault and trauma * stress management, assertiveness training * escort to legal appointments * group and one-on-one counselling for youth experiencing any kind of violence including bullying, child abuse, harassment, girl-on-girl violence, date rape * space for immigrant and refugee youth of colour to explore their cultural identity and sense of belonging in Canada<br><br>

<b>Volunteer and Student Placement Program</b> -- job placements to build skills and gain experience * opportunities in social or settlement services, counselling support, employment help, office administration or reception, marketing and outreach<br><br>

<b>Global Pantry</b> catering service * <b>Social Gardener Cafe</b> * social enterprises",Essential Pathways to Employment Program -- referral through Toronto. Employment and Social Services,"English , French - interpreter available , Arabic , Bengali , Chinese (Cantonese) , Chinese (Mandarin) , Chinese (Taiwanese) , Farsi , Filipino , Gujarati , Hindi , Kachi , Marathi , Punjabi , Spanish , Swahili , Tamil , Tibetan , Urdu",Wheelchair accessible building -- call for details,Mon-Fri 9 am-5 pm,"(50) Non Profit , (51) Registered Charity",2015-03-01T05:00:00
Rosalie Hall,"3020 Lawrence Ave E, Toronto, ON     M1P 2T7","Bendale, 127",416-438-6880,info@rosaliehall.com,"<a href=""http://www.rosaliehall.com"" target=""_blank"">www.rosaliehall.com</a>","Expectant young women, young parents and their children * focus on teen mothers","Children's mental health centre accredited with Children's Mental Health Ontario (see separate entry) * comprehensive range of specialized care and treatment programs for young parents, their children, partners and families * parenting support groups * outreach and support, advocacy and consultation * specialized and licensed child care and support for infants, toddlers and preschoolers (see separate entry)<br><br>

<b>Community Care and Treatment Team</b> -- assists young parents up to 21 years, and their families, with mental health attachment and trauma care * parent-infant interaction assessment * individual and group parenting support * outreach services in partnership with other community organizations<br><br>

<b>Community Counselling</b> -- individual, group and family counselling for pregnant youth, young parents and families * advocacy with housing, social assistance and returning to school * counsellors available for support in community settings such as schools * professional consultation available<br><br>

<b>Residential Care and Treatment</b> -- licensed prenatal and postnatal care and treatment for mothers 12-20 years who seek comprehensive parenting support<br><br>

<b>School Program</b> -- fully accredited secondary education and treatment program for pregnant or parenting youth 20 years and under<br><br>

<b>Young Parent Hub</b> -- groups and activities in cooperation with in-house programs and partner organizations (call for program hours) * Monday programs -- include prenatal classes, group for young fathers up to 25 years, and transition support program for parents up to 23 years with a child up to 12 months * Thursday programs -- group on healthy living topics and fun activities for young parents up to 25 years, infants and children welcome to attend with parent<br><br>

<b>Youth Outreach Services</b> -- outreach to any youth in Dorset Park, and their families * in cooperation with other community agencies<br><br>

Volunteer opportunities * services provided by other agencies -- Toronto Public Health, Jean Tweed Centre, Scarborough Hospital, Toronto District School Board, Toronto Catholic District School Board (see separate entries)",Contact intake worker,"English , French - dependent on staff availability during office hours","Designated parking at entrance , Wheelchair accessible automatic main entrance , Easy access to elevator , Barrier-free washroom including door and stall",Office -- Mon-Fri 8:30 am-4:30 pm * after hours -- telephone answered by residential staff * extended hours Monday and Thursday evenings (call for details),"(50) Non Profit , (51) Registered Charity",2016-02-03T05:00:00
St Joseph's Health Centre,"30 The Queensway, Toronto, ON     M6R 1B5","High Park-Swansea, 87",416-530-6000,,"<a href=""http://www.stjoe.on.ca"" target=""_blank"">www.stjoe.on.ca</a>",,"Acute care hospital * surgery and cancer care * obstetrics and pediatrics * psychiatric unit <br><br>

<b>Ambulatory Care Centre</b> -- wide range of outpatient clinics * physician referral required<br><br>

<b>Family Medicine Centre</b> 416-530-6860 -- Monday-Thursday 9-8, Friday 9-5 * online list of <a href=""http://www.stjoe.on.ca/patients/accepting_patients.php
"">physicians</a> accepting new patients<br><br>

<b>Mental Health Programs </b>-- outpatient mental health * child and adolescent program * substance abuse during pregnancy * <b>Mobile Crisis Intervention Team</b> in response to 911 call<br><br>

<b>Elderly Community Health Services </b>-- assessment and consultation for frail elderly persons * referrals to community supports * Community Osteoporosis Program with Education (COPE)<br><br>

<b>Lifeline Program </b>416-530-6453 -- 24 hour emergency response program to help seniors and medically at risk persons to continue to live safely in their own homes * fee-for-service",,"English , interpreter services for other languages",Wheelchair accessible building including main entrance and barrier free washrooms * designated parking on street and in parking garage,Mon-Sun 24 hours,(50) Non Profit,2016-02-08T05:00:00
Yonge Street Mission,"381 Yonge St, Toronto, ON     M5B 1S1","Church-Yonge Corridor, 75",416-929-9614,evergreen@ysm.ca,"<a href=""http://www.ysm.ca"" target=""_blank"">www.ysm.ca</a>",Street youth 16-24 years,Drop-in centre * hot meals * informal and formal counselling  * shower and laundry facilities * access to emergency clothing * referrals and advocacy * legal advice * ID clinic * other specialized programs,,"English , Portuguese , Spanish","Wheelchair accessible washroom, assistance needed with door , Wheelchair accessible main entrance and ground floor, assistance needed with door",Office -- Mon-Fri 9 am-5 pm * appointments only Mon-Fri 9 am-12 noon * meals and programs -- Mon-Fri 1 pm-5 pm *  Out of the Cold evening meal -- October to May (see separate entry),"(50) Non Profit , (51) Registered Charity",2014-02-13T05:00:00
Syme Woolner Neighbourhood and Family Centre,"George Syme Community School, 69 Pritchard Ave, Rms 110, 101, Toronto, ON     M6N 1T6","Rockcliffe-Smythe, 111",416-767-2186,,"<a href=""http://www.symewoolner.org"" target=""_blank"">www.symewoolner.org</a>",Family programs -- parents or caregivers with children birth-6 years * youth programs -- children and youth to 18 years,"<b>Women and family programs</b> -- caregiver and child drop-in * family resource library * parent relief cooperative * support groups for caregivers, single parents and women * parenting workshops and courses * family outings * child care registry * educational workshops for newcomer women<br> <br> 

<b>Children and youth programs</b> -- after school drop-in * March break programs and summer day camps for children 6-12 years * summer day camp for youth 13-18 years * counselling * trips and outings * 2 preschool programs for children birth-6 years of Punjabi, Somali and Spanish-speaking parents and caregivers * Moms and Babes support group * Ontario Early Years Centre",Drop in or call,"English , Somali , Spanish , Vietnamese","Designated parking at entrance , Wheelchair accessible automatic main entrance , Barrier-free washroom including door and stall , programs held in accessible locations",Mon-Fri 9 am-5 pm,"(50) Non Profit , (51) Registered Charity",2016-02-22T05:00:00
Blake Boultbee Youth Outreach Service,"41 Blake St, Toronto, ON     M4J 3E2","Blake-Jones, 69",416-465-1410,rod@bbyos.org,"<a href=""http://www.bbyos.org"" target=""_blank"">www.bbyos.org</a>",Children and youth 12-25 years and their families,"Outreach * individual and family psychotherapy and advocacy * support groups * substance abuse prevention * counselling and support for interpersonal relationships, employment and education, life skills, anger management, sexuality and sexual health",Walk in * self or agency referral,English,"Not Accessible , Street parking close to entrance",Mon-Fri 8 am-6 pm * some evening appointments,"(50) Non Profit , (51) Registered Charity",2015-11-25T05:00:00
