,,,"Milton [Population centre], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Language spoken most often at home","            Ojibway",,       0,,       0,,       0,,    3315,,    1695,,    1620,
"Language spoken most often at home","            Oji-Cree",,       0,,       0,,       0,,    2905,,    1420,,    1490,
"Language spoken most often at home","            Ottawa (Odawa)",,       0,,       0,,       0,,      75,,      40,,      35,
"Language spoken most often at home","          Algonquian languages; n.i.e.",,       0,,       0,,       0,,       5,,       0,,       0,
"Language spoken most often at home","        Athabaskan languages",,       0,,       0,,       0,,      20,,      10,,      10,
"Language spoken most often at home","          Northern Athabaskan languages",,       0,,       0,,       0,,      15,,      10,,      10,
"Language spoken most often at home","            Babine (Wetsuwet'en)",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Beaver",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Carrier",,       0,,       0,,       0,,       0,,       5,,       0,
"Language spoken most often at home","            Chilcotin",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Dene",,       0,,       0,,       0,,       5,,       0,,       5,
"Language spoken most often at home","            Dogrib (Tlicho)",,       0,,       0,,       0,,       0,,       0,,       5,
"Language spoken most often at home","            Gwich'in",,       0,,       0,,       0,,       5,,       0,,       0,
"Language spoken most often at home","            Sarsi (Sarcee)",,       0,,       0,,       0,,       5,,       5,,       0,
"Language spoken most often at home","            Sekani",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Slavey-Hare languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","              North Slavey (Hare)",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","              South Slavey",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","              Slavey; n.o.s.",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Tahltan languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","              Kaska (Nahani)",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","              Tahltan",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Tutchone languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","              Northern Tutchone",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","              Southern Tutchone",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","          Athabaskan languages; n.i.e.",,       0,,       0,,       0,,       0,,       5,,       0,
"Language spoken most often at home","        Haida",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","        Inuit languages",,       0,,       0,,       0,,     160,,      60,,      90,
"Language spoken most often at home","          Inuinnaqtun (Inuvialuktun)",,       0,,       0,,       0,,       0,,       0,,       5,
"Language spoken most often at home","          Inuktitut",,       0,,       0,,       0,,     140,,      60,,      80,
"Language spoken most often at home","          Inuit languages; n.i.e.",,       0,,       0,,       0,,      15,,       5,,      10,
"Language spoken most often at home","        Iroquoian languages",,       0,,       0,,       0,,     210,,      90,,     120,
"Language spoken most often at home","          Cayuga",,       0,,       0,,       0,,       5,,       5,,       5,
"Language spoken most often at home","          Mohawk",,       0,,       0,,       0,,     185,,      80,,     100,
"Language spoken most often at home","          Oneida",,       0,,       0,,       0,,      20,,       5,,      10,
"Language spoken most often at home","          Iroquoian languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","        Kutenai",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","        Michif",,       0,,       0,,       0,,       5,,       5,,       0,
"Language spoken most often at home","        Salish languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","          Comox",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","          Halkomelem",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","          Lillooet",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","          Okanagan",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","          Shuswap (Secwepemctsin)",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","          Squamish",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","          Straits",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","          Thompson (Ntlakapamux)",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","          Salish languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","        Siouan languages",,       0,,       0,,       0,,       5,,       0,,       5,
"Language spoken most often at home","          Dakota",,       0,,       0,,       0,,       5,,       5,,       0,
"Language spoken most often at home","          Stoney",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","          Siouan languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       5,
"Language spoken most often at home","        Tlingit",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","        Tsimshian languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","          Gitxsan (Gitksan)",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","          Nisga'a",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","          Tsimshian",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","        Wakashan languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","          Haisla",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","          Heiltsuk",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","          Kwakiutl (Kwak'wala)",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","          Nuu-chah-nulth (Nootka)",,       0,,       0,,       0,,       5,,       0,,       0,
"Language spoken most often at home","          Wakashan languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","        Aboriginal languages; n.o.s.",,       0,,       0,,       0,,     120,,      55,,      65,
"Language spoken most often at home","      Non-Aboriginal languages",,   16130,,    7760,,    8365,, 1907105,,  904930,, 1002170,
"Language spoken most often at home","        Afro-Asiatic languages",,    1575,,     760,,     815,,  138460,,   66865,,   71590,
"Language spoken most often at home","          Berber languages",,       0,,       0,,       0,,     345,,     175,,     170,
"Language spoken most often at home","            Kabyle",,       0,,       0,,       0,,     255,,     125,,     130,
"Language spoken most often at home","            Berber languages; n.i.e.",,       0,,       0,,       0,,      90,,      50,,      45,
"Language spoken most often at home","          Cushitic languages",,       5,,       5,,       5,,   14460,,    6100,,    8360,
"Language spoken most often at home","            Bilen",,       0,,       0,,       0,,     170,,      80,,      85,
"Language spoken most often at home","            Oromo",,       0,,       0,,       0,,     805,,     380,,     425,
"Language spoken most often at home","            Somali",,       5,,       0,,       5,,   13370,,    5590,,    7780,
"Language spoken most often at home","            Cushitic languages; n.i.e.",,       0,,       0,,       0,,     110,,      50,,      65,
"Language spoken most often at home","          Semitic languages",,    1565,,     760,,     805,,  123410,,   60475,,   62940,
"Language spoken most often at home","            Amharic",,       5,,       5,,       0,,    5625,,    2540,,    3085,
"Language spoken most often at home","            Arabic",,    1470,,     715,,     755,,   94195,,   46505,,   47695,
"Language spoken most often at home","            Assyrian Neo-Aramaic",,      45,,      25,,      25,,    9515,,    4595,,    4920,
"Language spoken most often at home","            Chaldean Neo-Aramaic",,      10,,       5,,       5,,    2915,,    1410,,    1500,
"Language spoken most often at home","            Harari",,       0,,       0,,       0,,     555,,     250,,     305,
"Language spoken most often at home","            Hebrew",,       5,,       5,,       5,,    4850,,    2505,,    2345,
"Language spoken most often at home","            Maltese",,      20,,      10,,       5,,    1090,,     505,,     580,
"Language spoken most often at home","            Tigrigna",,       5,,       5,,       5,,    3920,,    1805,,    2115,
"Language spoken most often at home","            Semitic languages; n.i.e.",,       5,,       0,,       5,,     755,,     360,,     395,
"Language spoken most often at home","          Afro-Asiatic languages; n.i.e.",,       0,,       0,,       0,,     245,,     115,,     125,
"Language spoken most often at home","        Austro-Asiatic languages",,     240,,     110,,     135,,   50245,,   23105,,   27140,
"Language spoken most often at home","          Khmer (Cambodian)",,       0,,       0,,       0,,    3770,,    1650,,    2120,
"Language spoken most often at home","          Vietnamese",,     235,,     105,,     130,,   46435,,   21435,,   25000,
"Language spoken most often at home","          Austro-Asiatic languages; n.i.e",,       0,,       0,,       0,,      40,,      20,,      20,
"Language spoken most often at home","        Austronesian languages",,     745,,     335,,     410,,   85370,,   36525,,   48845,
"Language spoken most often at home","          Bikol",,       5,,       5,,       5,,      90,,      35,,      55,
"Language spoken most often at home","          Cebuano",,      10,,       5,,       5,,    2325,,    1020,,    1315,
"Language spoken most often at home","          Fijian",,       0,,       0,,       0,,      15,,      10,,      10,
"Language spoken most often at home","          Hiligaynon",,       5,,       0,,       5,,     910,,     385,,     530,
"Language spoken most often at home","          Ilocano",,       5,,       0,,       5,,    4100,,    1780,,    2320,
"Language spoken most often at home","          Malagasy",,       0,,       0,,       0,,      35,,      15,,      20,
"Language spoken most often at home","          Malay",,      45,,      25,,      25,,    1810,,     860,,     945,
"Language spoken most often at home","          Pampangan (Kapampangan; Pampango)",,      10,,       5,,       5,,     445,,     200,,     250,
"Language spoken most often at home","          Pangasinan",,       0,,       0,,       0,,      90,,      40,,      50,
"Language spoken most often at home","          Tagalog (Pilipino; Filipino)",,     660,,     295,,     365,,   75070,,   31965,,   43105,
"Language spoken most often at home","          Waray-Waray",,       0,,       0,,       0,,      90,,      35,,      55,
"Language spoken most often at home","          Austronesian languages; n.i.e.",,       5,,       0,,       0,,     380,,     175,,     200,
"Language spoken most often at home","        Creole languages",,      40,,      15,,      20,,    5325,,    2355,,    2970,
"Language spoken most often at home","          Haitian Creole",,       0,,       0,,       0,,     355,,     165,,     190,
"Language spoken most often at home","          Creole; n.o.s.",,      25,,      10,,      15,,    3995,,    1735,,    2255,
"Language spoken most often at home","          Creole languages; n.i.e.",,      15,,       5,,       5,,     975,,     455,,     520,
"Language spoken most often at home","        Dravidian languages",,     630,,     305,,     325,,   96250,,   46575,,   49680,
"Language spoken most often at home","          Kannada",,      15,,       5,,       5,,    1060,,     540,,     520,
"Language spoken most often at home","          Malayalam",,     110,,      55,,      55,,    8760,,    4460,,    4295,
"Language spoken most often at home","          Tamil",,     395,,     190,,     205,,   80600,,   38460,,   42140,
"Language spoken most often at home","          Telugu",,     105,,      55,,      55,,    5705,,    3050,,    2655,
"Language spoken most often at home","          Dravidian languages; n.i.e.",,       5,,       0,,       0,,     125,,      55,,      70,
"Language spoken most often at home","        Hmong-Mien languages",,       0,,       0,,       0,,     200,,      95,,     105,
"Language spoken most often at home","        Indo-European languages",,   11285,,    5455,,    5825,,  978300,,  469640,,  508670,
"Language spoken most often at home","          Albanian",,      65,,      30,,      35,,    9190,,    4580,,    4605,
"Language spoken most often at home","          Armenian",,      10,,       5,,       5,,    8630,,    4065,,    4560,
"Language spoken most often at home","          Balto-Slavic languages",,    1620,,     785,,     835,,  192945,,   90585,,  102365,
"Language spoken most often at home","            Baltic languages",,       5,,       5,,       5,,    2305,,     950,,    1355,
"Language spoken most often at home","              Latvian",,       5,,       0,,       0,,     860,,     350,,     515,
"Language spoken most often at home","              Lithuanian",,       5,,       0,,       5,,    1440,,     600,,     840,
"Language spoken most often at home","            Slavic languages",,    1620,,     785,,     830,,  190645,,   89635,,  101005,
"Language spoken most often at home","              Belarusan",,       0,,       0,,       0,,     175,,      80,,      90,
"Language spoken most often at home","              Bosnian",,      15,,      10,,      10,,    3220,,    1595,,    1620,
"Language spoken most often at home","              Bulgarian",,      30,,      15,,      20,,    4830,,    2350,,    2480,
"Language spoken most often at home","              Croatian",,     160,,      70,,      85,,   11125,,    5275,,    5855,
"Language spoken most often at home","              Czech",,      15,,       5,,       5,,    3070,,    1480,,    1595,
"Language spoken most often at home","              Macedonian",,      35,,      15,,      20,,    6255,,    2965,,    3285,
"Language spoken most often at home","              Polish",,     845,,     410,,     430,,   52555,,   24510,,   28045,
"Language spoken most often at home","              Russian",,     280,,     135,,     145,,   63570,,   29655,,   33920,
"Language spoken most often at home","              Serbian",,     125,,      60,,      70,,   23175,,   11335,,   11840,
"Language spoken most often at home","              Serbo-Croatian",,      10,,       5,,       5,,    1925,,     920,,    1010,
"Language spoken most often at home","              Slovak",,       5,,       5,,       5,,    3520,,    1680,,    1845,
"Language spoken most often at home","              Slovene (Slovenian)",,       5,,       5,,       5,,    1465,,     645,,     815,
"Language spoken most often at home","              Ukrainian",,      90,,      50,,      45,,   15415,,    6995,,    8420,
"Language spoken most often at home","              Slavic languages; n.i.e.",,       0,,       0,,       0,,     355,,     160,,     190,
"Language spoken most often at home","          Celtic languages",,       0,,       0,,       0,,     120,,      65,,      55,
"Language spoken most often at home","            Scottish Gaelic",,       0,,       0,,       0,,      60,,      30,,      25,
"Language spoken most often at home","            Welsh",,       0,,       0,,       0,,      30,,      10,,      15,
"Language spoken most often at home","            Celtic languages; n.i.e.",,       0,,       0,,       0,,      35,,      20,,      15,
"Language spoken most often at home","          Germanic languages",,      65,,      25,,      35,,   44515,,   21630,,   22880,
"Language spoken most often at home","            Afrikaans",,       5,,       5,,       0,,     755,,     365,,     390,
"Language spoken most often at home","            Danish",,       0,,       0,,       0,,     280,,     135,,     150,
"Language spoken most often at home","            Dutch",,      10,,       0,,       5,,    4450,,    2145,,    2305,
"Language spoken most often at home","            Frisian",,       0,,       0,,       0,,      90,,      45,,      45,
"Language spoken most often at home","            German",,      45,,      15,,      20,,   37255,,   18140,,   19120,
"Language spoken most often at home","            Icelandic",,       0,,       0,,       0,,      45,,      20,,      30,
"Language spoken most often at home","            Norwegian",,       0,,       5,,       0,,      70,,      30,,      40,
"Language spoken most often at home","            Swedish",,       0,,       0,,       0,,     385,,     190,,     190,
"Language spoken most often at home","            Vlaams (Flemish)",,       5,,       5,,       0,,     145,,      60,,      85,
"Language spoken most often at home","            Yiddish",,       0,,       0,,       0,,     370,,     190,,     185,
"Language spoken most often at home","            Germanic languages; n.i.e.",,       0,,       0,,       0,,     655,,     315,,     340,
"Language spoken most often at home","          Greek",,      35,,      15,,      20,,   21700,,   10160,,   11535,
"Language spoken most often at home","          Indo-Iranian languages",,    7285,,    3545,,    3740,,  435835,,  215755,,  220080,
"Language spoken most often at home","            Indo-Aryan languages",,    6835,,    3325,,    3510,,  344050,,  171125,,  172920,
"Language spoken most often at home","              Bengali",,     225,,     105,,     115,,   29590,,   14595,,   14995,
"Language spoken most often at home","              Gujarati",,     445,,     210,,     235,,   45445,,   22410,,   23035,
"Language spoken most often at home","              Hindi",,     380,,     180,,     200,,   28960,,   14485,,   14475,
"Language spoken most often at home","              Kashmiri",,       0,,       0,,       0,,      65,,      30,,      35,
"Language spoken most often at home","              Konkani",,      10,,       5,,       0,,     540,,     260,,     280,
"Language spoken most often at home","              Marathi",,      45,,      20,,      20,,    2420,,    1230,,    1190,
"Language spoken most often at home","              Nepali",,      35,,      15,,      20,,    5640,,    2815,,    2820,
"Language spoken most often at home","              Oriya (Odia)",,       0,,       0,,       0,,     325,,     160,,     165,
"Language spoken most often at home","              Punjabi (Panjabi)",,    1010,,     505,,     510,,  132135,,   66410,,   65725,
"Language spoken most often at home","              Sindhi",,      60,,      30,,      35,,    2880,,    1320,,    1560,
"Language spoken most often at home","              Sinhala (Sinhalese)",,      50,,      20,,      30,,    4595,,    2250,,    2345,
"Language spoken most often at home","              Urdu",,    4580,,    2230,,    2350,,   91450,,   45160,,   46295,
"Language spoken most often at home","            Iranian languages",,     440,,     220,,     225,,   90730,,   44090,,   46640,
"Language spoken most often at home","              Kurdish",,      10,,       5,,       5,,    3675,,    1900,,    1770,
"Language spoken most often at home","              Pashto",,     100,,      50,,      50,,    6750,,    3360,,    3395,
"Language spoken most often at home","              Persian (Farsi)",,     330,,     160,,     165,,   80305,,   38830,,   41475,
"Language spoken most often at home","            Indo-Iranian languages; n.i.e.",,      10,,      10,,       5,,    1050,,     540,,     515,
"Language spoken most often at home","          Italic (Romance) languages",,    2200,,    1045,,    1155,,  265375,,  122790,,  142585,
"Language spoken most often at home","            Catalan",,       0,,       0,,       0,,     135,,      60,,      75,
"Language spoken most often at home","            Italian",,     185,,      85,,     100,,   72960,,   31195,,   41770,
"Language spoken most often at home","            Portuguese",,     350,,     165,,     185,,   67415,,   32065,,   35355,
"Language spoken most often at home","            Romanian",,     175,,      85,,      95,,   19920,,    9380,,   10535,
"Language spoken most often at home","            Spanish",,    1485,,     710,,     775,,  104820,,   50035,,   54785,
"Language spoken most often at home","            Italic (Romance) languages; n.i.e.",,       0,,       0,,       0,,     110,,      50,,      60,
"Language spoken most often at home","        Japanese",,      20,,      15,,      10,,    6040,,    2590,,    3450,
"Language spoken most often at home","        Kartvelian languages",,       0,,       0,,       0,,     770,,     420,,     355,
"Language spoken most often at home","          Georgian",,       0,,       0,,       0,,     775,,     420,,     355,
"Language spoken most often at home","        Korean",,     195,,     100,,      95,,   48540,,   22685,,   25855,
"Language spoken most often at home","        Mongolic languages",,       0,,       0,,       0,,     225,,     115,,     110,
"Language spoken most often at home","          Mongolian",,       0,,       0,,       0,,     230,,     120,,     110,
"Language spoken most often at home","        Niger-Congo languages",,      35,,      15,,      25,,   12120,,    5400,,    6725,
"Language spoken most often at home","          Akan (Twi)",,      15,,       5,,      10,,    4415,,    1915,,    2495,
"Language spoken most often at home","          Bamanankan",,       0,,       0,,       0,,      25,,      15,,      15,
"Language spoken most often at home","          Edo",,       0,,       0,,       0,,     305,,     120,,     180,
"Language spoken most often at home","          Ewe",,       0,,       0,,       0,,     135,,      60,,      80,
"Language spoken most often at home","          Fulah (Pular; Pulaar; Fulfulde)",,       0,,       0,,       0,,     110,,      55,,      55,
"Language spoken most often at home","          Ga",,       5,,       0,,       5,,     175,,      80,,     100,
"Language spoken most often at home","          Ganda",,       0,,       0,,       0,,     195,,      85,,     110,
"Language spoken most often at home","          Igbo",,       5,,       5,,       0,,     540,,     265,,     275,
"Language spoken most often at home","          Lingala",,       0,,       0,,       5,,     225,,     100,,     130,
"Language spoken most often at home","          Rundi (Kirundi)",,       0,,       0,,       0,,     475,,     230,,     240,
"Language spoken most often at home","          Kinyarwanda (Rwanda)",,       0,,       0,,       0,,     420,,     160,,     260,
"Language spoken most often at home","          Shona",,       5,,       5,,       0,,     455,,     210,,     245,
"Language spoken most often at home","          Swahili",,       0,,       0,,       0,,    2085,,     925,,    1160,
"Language spoken most often at home","          Wolof",,       0,,       0,,       0,,     130,,      65,,      65,
"Language spoken most often at home","          Yoruba",,       5,,       5,,       5,,    1300,,     625,,     675,
"Language spoken most often at home","          Niger-Congo languages; n.i.e.",,       0,,       0,,       0,,    1120,,     500,,     625,
"Language spoken most often at home","        Nilo-Saharan languages",,       0,,       0,,       0,,     550,,     260,,     290,
"Language spoken most often at home","          Dinka",,       0,,       0,,       0,,     120,,      60,,      65,
"Language spoken most often at home","          Nilo-Saharan languages; n.i.e.",,       0,,       0,,       0,,     425,,     195,,     225,
"Language spoken most often at home","        Sign languages",,     140,,      65,,      75,,    4425,,    2485,,    1940,
"Language spoken most often at home","          American Sign Language",,     125,,      55,,      65,,    1605,,     830,,     770,
"Language spoken most often at home","          Quebec Sign Language",,       0,,       0,,       0,,      25,,      15,,      15,
"Language spoken most often at home","          Sign languages; n.i.e",,      20,,      10,,      10,,    2795,,    1640,,    1150,
"Language spoken most often at home","        Sino-Tibetan languages",,    1080,,     515,,     565,,  448200,,  210560,,  237640,
"Language spoken most often at home","          Chinese languages",,    1075,,     515,,     560,,  441615,,  207305,,  234310,
"Language spoken most often at home","            Cantonese",,     270,,     130,,     145,,  198745,,   91545,,  107200,
"Language spoken most often at home","            Hakka",,       0,,       0,,       0,,    2870,,    1305,,    1575,
"Language spoken most often at home","            Mandarin",,     755,,     365,,     390,,  220535,,  105360,,  115175,
"Language spoken most often at home","            Min Dong",,       0,,       0,,       0,,     265,,     115,,     145,
"Language spoken most often at home","            Min Nan (Chaochow; Teochow; Fukien; Taiwanese)",,      20,,       5,,      15,,    5775,,    2635,,    3140,
"Language spoken most often at home","            Wu (Shanghainese)",,      20,,      10,,      10,,    3690,,    1735,,    1955,
"Language spoken most often at home","            Chinese; n.o.s.",,      15,,       5,,       5,,    9630,,    4565,,    5070,
"Language spoken most often at home","            Chinese languages; n.i.e.",,       0,,       0,,       0,,     100,,      45,,      55,
"Language spoken most often at home","          Tibeto-Burman languages",,       5,,       5,,       5,,    6580,,    3250,,    3330,
"Language spoken most often at home","            Burmese",,       0,,       0,,       0,,    1010,,     480,,     530,
"Language spoken most often at home","            Karenic languages",,       0,,       0,,       0,,    1360,,     685,,     675,
"Language spoken most often at home","            Tibetan",,       5,,       5,,       0,,    3875,,    1925,,    1945,
"Language spoken most often at home","            Tibeto-Burman languages; n.i.e.",,       0,,       0,,       0,,     335,,     165,,     170,
"Language spoken most often at home","        Tai-Kadai languages",,      10,,       5,,       5,,    3865,,    1845,,    2020,
"Language spoken most often at home","          Lao",,       5,,       0,,       5,,    2535,,    1220,,    1315,
"Language spoken most often at home","          Thai",,      10,,       0,,       5,,    1315,,     615,,     695,
"Language spoken most often at home","          Tai-Kadai languages; n.i.e",,       0,,       0,,       0,,      10,,       5,,      10,
"Language spoken most often at home","        Turkic languages",,      90,,      45,,      45,,   12435,,    6200,,    6230,
"Language spoken most often at home","          Azerbaijani",,       0,,       5,,       0,,     770,,     385,,     380,
"Language spoken most often at home","          Turkish",,      75,,      35,,      40,,   10545,,    5245,,    5300,
"Language spoken most often at home","          Uyghur",,      10,,       5,,       5,,     290,,     150,,     140,
"Language spoken most often at home","          Uzbek",,       0,,       0,,       0,,     585,,     290,,     295,
"Language spoken most often at home","          Turkic languages; n.i.e.",,       0,,       0,,       0,,     250,,     130,,     120,
"Language spoken most often at home","        Uralic languages",,      35,,      20,,      15,,   15330,,    6990,,    8340,
"Language spoken most often at home","          Estonian",,       0,,       0,,       0,,     790,,     290,,     500,
"Language spoken most often at home","          Finnish",,       0,,       0,,       0,,    1835,,     780,,    1050,
"Language spoken most often at home","          Hungarian",,      35,,      20,,      20,,   12700,,    5915,,    6790,
"Language spoken most often at home","          Uralic languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","        Other languages; n.i.e.",,       0,,       0,,       0,,     465,,     245,,     225,
"Language spoken most often at home","  Multiple responses",,   10295,,    5140,,    5160,,  790825,,  379925,,  410905,
"Language spoken most often at home","    English and French",,     275,,     140,,     135,,   45655,,   20895,,   24755,
"Language spoken most often at home","    English and non-official language",,    9725,,    4870,,    4855,,  719595,,  347730,,  371865,
"Language spoken most often at home","    French and non-official language",,      25,,       5,,      15,,    6725,,    2930,,    3795,
"Language spoken most often at home","    English; French and non-official language",,     270,,     115,,     150,,   18855,,    8365,,   10490,
"Other language spoken regularly at home","Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data",20,  100975,,   49760,,   51215,,13312865,, 6503875,, 6808990,
"Other language spoken regularly at home","  None",,   79195,,   39260,,   39930,,11071665,, 5436665,, 5635000,
"Other language spoken regularly at home","  English",,    8505,,    4240,,    4265,,  896170,,  437015,,  459155,
"Other language spoken regularly at home","  French",,    1065,,     450,,     610,,  243970,,  108390,,  135580,
"Other language spoken regularly at home","  Non-official language",,   11765,,    5600,,    6170,, 1056960,,  501315,,  555645,
"Other language spoken regularly at home","    Aboriginal",,       5,,       0,,       0,,   14315,,    6580,,    7735,
"Other language spoken regularly at home","    Non-Aboriginal",,   11765,,    5600,,    6165,, 1042645,,  494735,,  547910,
"Other language spoken regularly at home","  English and French",,     105,,      50,,      60,,    8150,,    3755,,    4395,
"Other language spoken regularly at home","  English and non-official language",,     190,,      95,,     100,,   19105,,    9370,,    9735,
"Other language spoken regularly at home","  French and non-official language",,     145,,      65,,      80,,   16435,,    7165,,    9270,
"Other language spoken regularly at home","  English; French and non-official language",,       5,,       0,,       0,,     415,,     205,,     215,
"Knowledge of languages","Total - Knowledge of languages for the population in private households - 25% sample data",44,  100625,,   49680,,   50945,,13242160,, 6472240,, 6769925,
"Knowledge of languages","  Official languages",,   98990,,   49090,,   49895,,12918075,, 6342930,, 6575145,
"Knowledge of languages","    English",,   98850,,   49030,,   49815,,12879045,, 6326225,, 6552825,
"Knowledge of languages","    French",,    8250,,    3340,,    4915,, 1521020,,  677505,,  843510,
"Knowledge of languages","  Non-official languages",,   43795,,   21165,,   22635,, 4431270,, 2115510,, 2315760,
"Knowledge of languages","    Aboriginal languages",,       0,,       0,,      10,,   33855,,   15815,,   18035,
"Knowledge of languages","      Algonquian languages",,      10,,       0,,       0,,   30630,,   14505,,   16125,
"Knowledge of languages","        Blackfoot",,       0,,       0,,       0,,      15,,      15,,       0,
"Knowledge of languages","        Cree-Montagnais languages",,       0,,       0,,       0,,    6560,,    3160,,    3395,
"Knowledge of languages","          Atikamekw",,       0,,       0,,       0,,      10,,       0,,       0,
"Knowledge of languages","          Montagnais (Innu)",,       0,,       0,,       0,,      10,,       0,,      10,
"Knowledge of languages","          Moose Cree",,       0,,       0,,       0,,     145,,      70,,      75,
"Knowledge of languages","          Naskapi",,       0,,       0,,       0,,      25,,      10,,      10,
"Knowledge of languages","          Northern East Cree",,       0,,       0,,       0,,      65,,      25,,      45,
"Knowledge of languages","          Plains Cree",,       0,,       0,,       0,,     105,,      50,,      50,
"Knowledge of languages","          Southern East Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Swampy Cree",,       0,,       0,,       0,,     605,,     255,,     350,
"Knowledge of languages","          Woods Cree",,       0,,       0,,       0,,      45,,      25,,      25,
"Knowledge of languages","          Cree; n.o.s.",,       0,,       0,,       0,,    5620,,    2760,,    2865,
"Knowledge of languages","        Eastern Algonquian languages",,       0,,       0,,       0,,     180,,      95,,      85,
"Knowledge of languages","          Malecite",,       0,,       0,,       0,,      20,,      20,,       0,
"Knowledge of languages","          Mi'kmaq",,       0,,       0,,       0,,     160,,      75,,      85,
"Knowledge of languages","        Ojibway-Potawatomi languages",,      10,,       0,,       0,,   23980,,   11285,,   12690,
"Knowledge of languages","          Algonquin",,       0,,       0,,       0,,     205,,      95,,     105,
"Knowledge of languages","          Ojibway",,       0,,       0,,      10,,   16220,,    7600,,    8630,
"Knowledge of languages","          Oji-Cree",,       0,,       0,,       0,,    7515,,    3585,,    3935,
"Knowledge of languages","          Ottawa (Odawa)",,       0,,       0,,       0,,     200,,     105,,     100,
"Knowledge of languages","        Algonquian languages; n.i.e.",,       0,,       0,,       0,,      85,,      40,,      50,
"Knowledge of languages","      Athabaskan languages",,       0,,       0,,       0,,      85,,      25,,      65,
"Knowledge of languages","        Northern Athabaskan languages",,       0,,       0,,       0,,      80,,      25,,      55,
"Knowledge of languages","          Babine (Wetsuwet'en)",,       0,,       0,,       0,,      10,,       0,,       0,
"Knowledge of languages","          Beaver",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Carrier",,       0,,       0,,       0,,      10,,       0,,      10,
"Knowledge of languages","          Chilcotin",,       0,,       0,,       0,,      10,,       0,,      10,
"Knowledge of languages","          Dene",,       0,,       0,,       0,,      45,,      20,,      30,
"Knowledge of languages","          Dogrib (Tlicho)",,       0,,       0,,       0,,      10,,       0,,      10,
"Knowledge of languages","          Gwich'in",,       0,,       0,,       0,,      10,,       0,,      10,
"Knowledge of languages","          Sarsi (Sarcee)",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Sekani",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Slavey-Hare languages",,       0,,       0,,       0,,      10,,       0,,       0,
