,,,"Oakville, Town [Census subdivision], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Income of individuals in 2015","      $90;000 to $99;999",,    4495,,    2820,,    1675,,  174110,,  116330,,   57785,
"Income of individuals in 2015","      $100;000 and over",,   17840,,   12860,,    4980,,  439070,,  311525,,  127540,
"Income of individuals in 2015","Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data",33,  155025,,   74295,,   80730,,11038440,, 5342850,, 5695590,
"Income of individuals in 2015","  Without employment income",,   41060,,   16160,,   24900,, 3247760,, 1344515,, 1903245,
"Income of individuals in 2015","  With employment income",,  113960,,   58135,,   55825,, 7790680,, 3998335,, 3792350,
"Income of individuals in 2015","  Percentage with employment income",,     73.5,,     78.2,,     69.2,,     70.6,,     74.8,,     66.6,
"Income of individuals in 2015","    Under $5;000 (including loss)",,   16485,,    8015,,    8465,, 1094860,,  546920,,  547940,
"Income of individuals in 2015","    $5;000 to $9;999",,    9120,,    4080,,    5040,,  635305,,  281135,,  354165,
"Income of individuals in 2015","    $10;000 to $19;999",,   12445,,    5505,,    6945,, 1027910,,  464445,,  563465,
"Income of individuals in 2015","    $20;000 to $29;999",,    9095,,    3915,,    5185,,  827805,,  372185,,  455625,
"Income of individuals in 2015","    $30;000 to $39;999",,    7860,,    3355,,    4505,,  767840,,  351925,,  415910,
"Income of individuals in 2015","    $40;000 to $49;999",,    7365,,    3125,,    4240,,  709775,,  341320,,  368450,
"Income of individuals in 2015","    $50;000 to $59;999",,    6735,,    2945,,    3795,,  588220,,  310155,,  278065,
"Income of individuals in 2015","    $60;000 to $69;999",,    5925,,    2785,,    3145,,  465670,,  263430,,  202240,
"Income of individuals in 2015","    $70;000 to $79;999",,    5130,,    2530,,    2600,,  369085,,  218570,,  150515,
"Income of individuals in 2015","    $80;000 and over",,   33790,,   21870,,   11920,, 1304210,,  848245,,  455970,
"Income of individuals in 2015","      $80;000 to $89;999",,    5080,,    2590,,    2490,,  307660,,  182660,,  125005,
"Income of individuals in 2015","      $90;000 to $99;999",,    4985,,    2485,,    2500,,  280530,,  156440,,  124090,
"Income of individuals in 2015","      $100;000 and over",,   23720,,   16795,,    6925,,  716015,,  509140,,  206875,
"Income of households in 2015","Total - Income statistics in 2015 for private households by household size - 100% data",34,   66270,,,...,,..., 5169175,,,...,,...
"Income of households in 2015","  Median total income of households in 2015 ($)",,  113666,,,...,,...,   74287,,,...,,...
"Income of households in 2015","  Median after-tax income of households in 2015 ($)",,   95035,,,...,,...,   65285,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for one-person private households - 100% data",,   11760,,,...,,..., 1341300,,,...,,...
"Income of households in 2015","      Median total income of one-person households in 2015 ($)",,   48604,,,...,,...,   36900,,,...,,...
"Income of households in 2015","      Median after-tax income of one-person households in 2015 ($)",,   41741,,,...,,...,   33219,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for two-or-more-person private households - 100% data",,   54510,,,...,,..., 3827875,,,...,,...
"Income of households in 2015","      Median total income of two-or-more-person households in 2015 ($)",,  132596,,,...,,...,   90967,,,...,,...
"Income of households in 2015","      Median after-tax income of two-or-more-person households in 2015 ($)",,  110019,,,...,,...,   79528,,,...,,...
"Income of households in 2015","Total - Income statistics in 2015 for private households by household size - 25% sample data",35,   66270,,,...,,..., 5169175,,,...,,...
"Income of households in 2015","  Average total income of households in 2015 ($)",,  169786,,,...,,...,   97856,,,...,,...
"Income of households in 2015","  Average after-tax income of households in 2015 ($)",,  126204,,,...,,...,   80322,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for one-person private households - 25% sample data",,   11800,,,...,,..., 1341115,,,...,,...
"Income of households in 2015","      Average total income of one-person households in 2015 ($)",,   81160,,,...,,...,   49571,,,...,,...
"Income of households in 2015","      Average after-tax income of one-person households in 2015 ($)",,   61052,,,...,,...,   40830,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for two-or-more-person private households - 25% sample data",,   54470,,,...,,..., 3828060,,,...,,...
"Income of households in 2015","      Average total income of two-or-more-person households in 2015 ($)",,  188982,,,...,,...,  114773,,,...,,...
"Income of households in 2015","      Average after-tax income of two-or-more-person households in 2015 ($)",,  140316,,,...,,...,   94157,,,...,,...
"Income of households in 2015","Total - Household total income groups in 2015 for private households - 100% data",36,   66270,,,...,,..., 5169175,,,...,,...
"Income of households in 2015","  Under $5;000",,    1000,,,...,,...,   86720,,,...,,...
"Income of households in 2015","  $5;000 to $9;999",,     535,,,...,,...,   70245,,,...,,...
"Income of households in 2015","  $10;000 to $14;999",,     935,,,...,,...,  134395,,,...,,...
"Income of households in 2015","  $15;000 to $19;999",,    1285,,,...,,...,  185245,,,...,,...
"Income of households in 2015","  $20;000 to $24;999",,    1465,,,...,,...,  200770,,,...,,...
"Income of households in 2015","  $25;000 to $29;999",,    1490,,,...,,...,  189450,,,...,,...
"Income of households in 2015","  $30;000 to $34;999",,    1580,,,...,,...,  202580,,,...,,...
"Income of households in 2015","  $35;000 to $39;999",,    1640,,,...,,...,  207180,,,...,,...
"Income of households in 2015","  $40;000 to $44;999",,    1730,,,...,,...,  206605,,,...,,...
"Income of households in 2015","  $45;000 to $49;999",,    1600,,,...,,...,  202015,,,...,,...
"Income of households in 2015","  $50;000 to $59;999",,    3385,,,...,,...,  388820,,,...,,...
"Income of households in 2015","  $60;000 to $69;999",,    3250,,,...,,...,  363580,,,...,,...
"Income of households in 2015","  $70;000 to $79;999",,    3115,,,...,,...,  335770,,,...,,...
"Income of households in 2015","  $80;000 to $89;999",,    3135,,,...,,...,  309105,,,...,,...
"Income of households in 2015","  $90;000 to $99;999",,    3030,,,...,,...,  282740,,,...,,...
"Income of households in 2015","  $100;000 and over",,   37100,,,...,,..., 1803955,,,...,,...
"Income of households in 2015","    $100;000 to $124;999",,    6855,,,...,,...,  560090,,,...,,...
"Income of households in 2015","    $125;000 to $149;999",,    5905,,,...,,...,  394570,,,...,,...
"Income of households in 2015","    $150;000 to $199;999",,    8865,,,...,,...,  449885,,,...,,...
"Income of households in 2015","    $200;000 and over",,   15460,,,...,,...,  399410,,,...,,...
"Income of households in 2015","Total - Household after-tax income groups in 2015 for private households - 100% data",32,   66270,,,...,,..., 5169175,,,...,,...
"Income of households in 2015","  Under $5;000",,    1100,,,...,,...,   92220,,,...,,...
"Income of households in 2015","  $5;000 to $9;999",,     560,,,...,,...,   71480,,,...,,...
"Income of households in 2015","  $10;000 to $14;999",,     970,,,...,,...,  136550,,,...,,...
"Income of households in 2015","  $15;000 to $19;999",,    1350,,,...,,...,  192920,,,...,,...
"Income of households in 2015","  $20;000 to $24;999",,    1620,,,...,,...,  222605,,,...,,...
"Income of households in 2015","  $25;000 to $29;999",,    1650,,,...,,...,  211440,,,...,,...
"Income of households in 2015","  $30;000 to $34;999",,    1870,,,...,,...,  232755,,,...,,...
"Income of households in 2015","  $35;000 to $39;999",,    1955,,,...,,...,  244335,,,...,,...
"Income of households in 2015","  $40;000 to $44;999",,    2045,,,...,,...,  247645,,,...,,...
"Income of households in 2015","  $45;000 to $49;999",,    2045,,,...,,...,  241965,,,...,,...
"Income of households in 2015","  $50;000 to $59;999",,    4130,,,...,,...,  463170,,,...,,...
"Income of households in 2015","  $60;000 to $69;999",,    3985,,,...,,...,  422695,,,...,,...
"Income of households in 2015","  $70;000 to $79;999",,    4015,,,...,,...,  388720,,,...,,...
"Income of households in 2015","  $80;000 to $89;999",,    3930,,,...,,...,  342330,,,...,,...
"Income of households in 2015","  $90;000 to $99;999",,    3650,,,...,,...,  290720,,,...,,...
"Income of households in 2015","  $100;000 and over",,   31390,,,...,,..., 1367630,,,...,,...
"Income of households in 2015","    $100;000 to $124;999",,    7935,,,...,,...,  539915,,,...,,...
"Income of households in 2015","    $125;000 to $149;999",,    6420,,,...,,...,  334420,,,...,,...
"Income of households in 2015","    $150;000 and over",,   17035,,,...,,...,  493295,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for economic families in private households - 100% data",37,   53585,,,...,,..., 3689580,,,...,,...
"Income of economic families in 2015","  Median total income of economic families in 2015 ($)",,  133291,,,...,,...,   91089,,,...,,...
"Income of economic families in 2015","  Median after-tax income of economic families in 2015 ($)",,  110399,,,...,,...,   79531,,,...,,...
"Income of economic families in 2015","  Average family size of economic families",,      3.3,,,...,,...,      3.1,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 100% data",,   14795,,,...,,..., 1280890,,,...,,...
"Income of economic families in 2015","  Median total income of couple economic families without children or other relatives in 2015 ($)",,  109120,,,...,,...,   81459,,,...,,...
"Income of economic families in 2015","  Median after-tax income of couple economic families without children or other relatives in 2015 ($)",,   91495,,,...,,...,   71237,,,...,,...
"Income of economic families in 2015","  Average family size of couple economic families without children or other relatives",,      2.0,,,...,,...,      2.0,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families with children in private households - 100% data",,   31230,,,...,,..., 1716115,,,...,,...
"Income of economic families in 2015","  Median total income of couple economic families with children in 2015 ($)",,  162621,,,...,,...,  115381,,,...,,...
"Income of economic families in 2015","  Median after-tax income of couple economic families with children in 2015 ($)",,  132538,,,...,,...,   99205,,,...,,...
"Income of economic families in 2015","  Average family size of couple economic families with children",,      4.0,,,...,,...,      4.1,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for lone-parent economic families in private households - 100% data",,    6590,,,...,,...,  584180,,,...,,...
"Income of economic families in 2015","  Median total income of lone-parent economic families in 2015 ($)",,   74483,,,...,,...,   54363,,,...,,...
"Income of economic families in 2015","  Median after-tax income of lone-parent economic families in 2015 ($)",,   65783,,,...,,...,   50317,,,...,,...
"Income of economic families in 2015","  Average family size of lone-parent economic families",,      2.7,,,...,,...,      2.7,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for economic families in private households - 25% sample data",38,   53545,,,...,,..., 3689080,,,...,,...
"Income of economic families in 2015","  Average total income of economic families in 2015 ($)",,  189944,,,...,,...,  115328,,,...,,...
"Income of economic families in 2015","  Average after-tax income of economic families in 2015 ($)",,  140794,,,...,,...,   94410,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 25% sample data",,   14930,,,...,,..., 1280580,,,...,,...
"Income of economic families in 2015","  Average total income of couple economic families without children or other relatives in 2015 ($)",,  168473,,,...,,...,  104425,,,...,,...
"Income of economic families in 2015","  Average after-tax income of couple economic families without children or other relatives in 2015 ($)",,  123631,,,...,,...,   84952,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families with children in private households - 25% sample data",,   31175,,,...,,..., 1717295,,,...,,...
"Income of economic families in 2015","  Average total income of couple economic families with children in 2015 ($)",,  220504,,,...,,...,  140590,,,...,,...
"Income of economic families in 2015","  Average after-tax income of couple economic families with children in 2015 ($)",,  162705,,,...,,...,  114144,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for lone-parent economic families in private households - 25% sample data",,    6505,,,...,,...,  581945,,,...,,...
"Income of economic families in 2015","  Average total income of lone-parent economic families in 2015 ($)",,  101465,,,...,,...,   67748,,,...,,...
"Income of economic families in 2015","  Average after-tax income of lone-parent economic families in 2015 ($)",,   80115,,,...,,...,   58742,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 100% data",21,   15465,,    6285,,    9180,, 1818815,,  867175,,  951640,
"Income of economic families in 2015","  Median total income in 2015 for persons aged 15 years and over not in economic families ($)",39,   41192,,   43881,,   39386,,   32097,,   33925,,   30753,
"Income of economic families in 2015","  Median after-tax income in 2015 for persons aged 15 years and over not in economic families ($)",39,   36318,,   38489,,   35022,,   29417,,   30678,,   28442,
"Income of economic families in 2015","Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data",40,   15520,,    6235,,    9285,, 1814575,,  864020,,  950555,
"Income of economic families in 2015","  Average total income in 2015 for persons aged 15 years and over not in economic families ($)",41,   69632,,   89903,,   56030,,   44298,,   46765,,   42057,
"Income of economic families in 2015","  Average after-tax income in 2015 for persons aged 15 years and over not in economic families ($)",41,   53115,,   63677,,   46027,,   36874,,   38228,,   35644,
"Income of economic families in 2015","Total - Economic family income decile group for the population in private households - 100% data",42,  191720,,   92920,,   98795,,13242160,, 6472205,, 6769955,
"Income of economic families in 2015","  In the bottom half of the distribution",,   57735,,   26700,,   31035,, 6335170,, 3016275,, 3318895,
"Income of economic families in 2015","    In the bottom decile",,   13575,,    6360,,    7215,, 1346645,,  651310,,  695335,
"Income of economic families in 2015","    In the second decile",,   10705,,    4760,,    5950,, 1280675,,  581380,,  699290,
"Income of economic families in 2015","    In the third decile",,   10310,,    4600,,    5710,, 1237415,,  583840,,  653575,
"Income of economic families in 2015","    In the fourth decile",,   10815,,    5055,,    5760,, 1223510,,  589740,,  633770,
"Income of economic families in 2015","    In the fifth decile",,   12320,,    5925,,    6405,, 1246925,,  610000,,  636930,
"Income of economic families in 2015","  In the top half of the distribution",,  133985,,   66220,,   67760,, 6906990,, 3455930,, 3451060,
"Income of economic families in 2015","    In the sixth decile",,   14210,,    6855,,    7355,, 1279095,,  629635,,  649465,
"Income of economic families in 2015","    In the seventh decile",,   16815,,    8150,,    8670,, 1321220,,  655840,,  665375,
"Income of economic families in 2015","    In the eighth decile",,   20810,,   10240,,   10570,, 1382795,,  691630,,  691165,
"Income of economic families in 2015","    In the ninth decile",,   28930,,   14310,,   14625,, 1464415,,  736030,,  728385,
"Income of economic families in 2015","    In the top decile",,   53215,,   26665,,   26545,, 1459465,,  742795,,  716670,
"Low income in 2015","Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data",43,  191715,,   92920,,   98795,,13184055,, 6442930,, 6741130,
"Low income in 2015","  0 to 17 years",,   45620,,   23135,,   22480,, 2656535,, 1361905,, 1294630,
"Low income in 2015","    0 to 5 years",,   11280,,    5715,,    5565,,  835000,,  428025,,  406975,
"Low income in 2015","  18 to 64 years",,  119655,,   57735,,   61915,, 8418960,, 4110615,, 4308345,
"Low income in 2015","  65 years and over",,   26445,,   12045,,   14395,, 2108560,,  970405,, 1138155,
"Low income in 2015","In low income based on the Low-income measure; after tax (LIM-AT)",,   18685,,    8545,,   10140,, 1898975,,  886530,, 1012445,
"Low income in 2015","  0 to 17 years",,    5665,,    2830,,    2835,,  489905,,  251830,,  238080,
"Low income in 2015","    0 to 5 years",,    1260,,     605,,     655,,  165140,,   84825,,   80310,
"Low income in 2015","  18 to 64 years",,   11055,,    5020,,    6035,, 1155315,,  538535,,  616780,
"Low income in 2015","  65 years and over",,    1960,,     695,,    1265,,  253755,,   96170,,  157585,
"Low income in 2015","Prevalence of low income based on the Low-income measure; after tax (LIM-AT) (%)",,      9.7,,      9.2,,     10.3,,     14.4,,     13.8,,     15.0,
"Low income in 2015","  0 to 17 years (%)",,     12.4,,     12.2,,     12.6,,     18.4,,     18.5,,     18.4,
"Low income in 2015","    0 to 5 years (%)",,     11.2,,     10.6,,     11.8,,     19.8,,     19.8,,     19.7,
"Low income in 2015","  18 to 64 years (%)",,      9.2,,      8.7,,      9.7,,     13.7,,     13.1,,     14.3,
"Low income in 2015","  65 years and over (%)",,      7.4,,      5.8,,      8.8,,     12.0,,      9.9,,     13.8,
"Low income in 2015","In low income based on the Low-income cut-offs; after tax (LICO-AT)",,   15485,,    7180,,    8310,, 1298590,,  627935,,  670650,
"Low income in 2015","  0 to 17 years",,    4580,,    2295,,    2285,,  304390,,  156575,,  147815,
"Low income in 2015","    0 to 5 years",,     995,,     480,,     520,,  102750,,   52810,,   49935,
"Low income in 2015","  18 to 64 years",,    9630,,    4455,,    5180,,  887640,,  430545,,  457095,
"Low income in 2015","  65 years and over",,    1270,,     425,,     845,,  106555,,   40815,,   65740,
"Low income in 2015","Prevalence of low income based on the Low-income cut-offs; after tax (LICO-AT) (%)",,      8.1,,      7.7,,      8.4,,      9.8,,      9.7,,      9.9,
"Low income in 2015","  0 to 17 years (%)",,     10.0,,      9.9,,     10.2,,     11.5,,     11.5,,     11.4,
"Low income in 2015","    0 to 5 years (%)",,      8.8,,      8.4,,      9.3,,     12.3,,     12.3,,     12.3,
"Low income in 2015","  18 to 64 years (%)",,      8.0,,      7.7,,      8.4,,     10.5,,     10.5,,     10.6,
"Low income in 2015","  65 years and over (%)",,      4.8,,      3.5,,      5.9,,      5.1,,      4.2,,      5.8,
"Knowledge of languages","Total - Knowledge of languages for the population in private households - 25% sample data",44,  191720,,   92920,,   98800,,13242160,, 6472240,, 6769925,
"Knowledge of languages","  Official languages",,  188380,,   91555,,   96820,,12918075,, 6342930,, 6575145,
"Knowledge of languages","    English",,  188230,,   91495,,   96735,,12879045,, 6326225,, 6552825,
"Knowledge of languages","    French",,   22910,,    9710,,   13205,, 1521020,,  677505,,  843510,
"Knowledge of languages","  Non-official languages",,   75230,,   35420,,   39810,, 4431270,, 2115510,, 2315760,
"Knowledge of languages","    Aboriginal languages",,      30,,      15,,      20,,   33855,,   15815,,   18035,
"Knowledge of languages","      Algonquian languages",,      25,,      10,,      15,,   30630,,   14505,,   16125,
"Knowledge of languages","        Blackfoot",,       0,,       0,,       0,,      15,,      15,,       0,
"Knowledge of languages","        Cree-Montagnais languages",,       0,,       0,,       0,,    6560,,    3160,,    3395,
"Knowledge of languages","          Atikamekw",,       0,,       0,,       0,,      10,,       0,,       0,
"Knowledge of languages","          Montagnais (Innu)",,       0,,       0,,       0,,      10,,       0,,      10,
"Knowledge of languages","          Moose Cree",,       0,,       0,,       0,,     145,,      70,,      75,
"Knowledge of languages","          Naskapi",,       0,,       0,,       0,,      25,,      10,,      10,
"Knowledge of languages","          Northern East Cree",,       0,,       0,,       0,,      65,,      25,,      45,
"Knowledge of languages","          Plains Cree",,       0,,       0,,       0,,     105,,      50,,      50,
"Knowledge of languages","          Southern East Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Swampy Cree",,       0,,       0,,       0,,     605,,     255,,     350,
"Knowledge of languages","          Woods Cree",,       0,,       0,,       0,,      45,,      25,,      25,
"Knowledge of languages","          Cree; n.o.s.",,       0,,       0,,       0,,    5620,,    2760,,    2865,
"Knowledge of languages","        Eastern Algonquian languages",,      10,,      10,,       0,,     180,,      95,,      85,
"Knowledge of languages","          Malecite",,       0,,       0,,       0,,      20,,      20,,       0,
"Knowledge of languages","          Mi'kmaq",,       0,,       0,,       0,,     160,,      75,,      85,
"Knowledge of languages","        Ojibway-Potawatomi languages",,      20,,      10,,      20,,   23980,,   11285,,   12690,
"Knowledge of languages","          Algonquin",,       0,,       0,,       0,,     205,,      95,,     105,
"Knowledge of languages","          Ojibway",,      25,,      10,,      15,,   16220,,    7600,,    8630,
"Knowledge of languages","          Oji-Cree",,       0,,       0,,       0,,    7515,,    3585,,    3935,
"Knowledge of languages","          Ottawa (Odawa)",,       0,,       0,,       0,,     200,,     105,,     100,
"Knowledge of languages","        Algonquian languages; n.i.e.",,       0,,       0,,       0,,      85,,      40,,      50,
"Knowledge of languages","      Athabaskan languages",,       0,,       0,,       0,,      85,,      25,,      65,
"Knowledge of languages","        Northern Athabaskan languages",,       0,,       0,,       0,,      80,,      25,,      55,
"Knowledge of languages","          Babine (Wetsuwet'en)",,       0,,       0,,       0,,      10,,       0,,       0,
"Knowledge of languages","          Beaver",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Carrier",,       0,,       0,,       0,,      10,,       0,,      10,
"Knowledge of languages","          Chilcotin",,       0,,       0,,       0,,      10,,       0,,      10,
"Knowledge of languages","          Dene",,       0,,       0,,       0,,      45,,      20,,      30,
"Knowledge of languages","          Dogrib (Tlicho)",,       0,,       0,,       0,,      10,,       0,,      10,
"Knowledge of languages","          Gwich'in",,       0,,       0,,       0,,      10,,       0,,      10,
"Knowledge of languages","          Sarsi (Sarcee)",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Sekani",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Slavey-Hare languages",,       0,,       0,,       0,,      10,,       0,,       0,
"Knowledge of languages","            North Slavey (Hare)",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","            South Slavey",,       0,,       0,,       0,,       0,,       0,,      10,
"Knowledge of languages","            Slavey; n.o.s.",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Tahltan languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","            Kaska (Nahani)",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","            Tahltan",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Tutchone languages",,       0,,       0,,       0,,      10,,       0,,       0,
"Knowledge of languages","            Northern Tutchone",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","            Southern Tutchone",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Athabaskan languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","      Haida",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","      Inuit languages",,       0,,       0,,       0,,     840,,     320,,     525,
"Knowledge of languages","        Inuinnaqtun (Inuvialuktun)",,       0,,       0,,       0,,      10,,       0,,      10,
"Knowledge of languages","        Inuktitut",,       0,,       0,,       0,,     730,,     285,,     445,
"Knowledge of languages","        Inuit languages; n.i.e.",,       0,,       0,,       0,,     105,,      35,,      70,
"Knowledge of languages","      Iroquoian languages",,       0,,       0,,       0,,    1940,,     810,,    1125,
"Knowledge of languages","        Cayuga",,       0,,       0,,       0,,     120,,      35,,      85,
"Knowledge of languages","        Mohawk",,       0,,       0,,       0,,    1625,,     710,,     915,
"Knowledge of languages","        Oneida",,       0,,       0,,       0,,     180,,      55,,     125,
"Knowledge of languages","        Iroquoian languages; n.i.e.",,       0,,       0,,       0,,      50,,      25,,      25,
"Knowledge of languages","      Kutenai",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","      Michif",,       0,,       0,,       0,,     180,,      65,,     110,
"Knowledge of languages","      Salish languages",,       0,,       0,,       0,,      10,,       0,,      10,
"Knowledge of languages","        Comox",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Halkomelem",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Lillooet",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Okanagan",,       0,,       0,,       0,,       0,,      10,,       0,
"Knowledge of languages","        Shuswap (Secwepemctsin)",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Squamish",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Straits",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Thompson (Ntlakapamux)",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Salish languages; n.i.e.",,       0,,       0,,       0,,      10,,       0,,      10,
"Knowledge of languages","      Siouan languages",,       0,,       0,,       0,,      40,,      10,,      30,
"Knowledge of languages","        Dakota",,       0,,       0,,       0,,      20,,      10,,      10,
"Knowledge of languages","        Stoney",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Siouan languages; n.i.e.",,       0,,       0,,       0,,      20,,       0,,      15,
"Knowledge of languages","      Tlingit",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","      Tsimshian languages",,       0,,       0,,       0,,      10,,       0,,      10,
"Knowledge of languages","        Gitxsan (Gitksan)",,       0,,       0,,       0,,      10,,       0,,      10,
"Knowledge of languages","        Nisga'a",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Tsimshian",,       0,,       0,,       0,,      10,,       0,,      10,
"Knowledge of languages","      Wakashan languages",,       0,,       0,,       0,,      10,,      10,,       0,
"Knowledge of languages","        Haisla",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Heiltsuk",,       0,,       0,,       0,,       0,,       0,,      10,
"Knowledge of languages","        Kwakiutl (Kwak'wala)",,       0,,       0,,       0,,      10,,       0,,       0,
"Knowledge of languages","        Nuu-chah-nulth (Nootka)",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Wakashan languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","      Aboriginal languages; n.o.s.",,       0,,       0,,       0,,     210,,     100,,     110,
"Knowledge of languages","    Non-Aboriginal languages",,   75205,,   35410,,   39790,, 4397690,, 2099820,, 2297865,
"Knowledge of languages","      Afro-Asiatic languages",,    7125,,    3615,,    3515,,  362645,,  183050,,  179595,
"Knowledge of languages","        Berber languages",,       0,,       0,,       0,,     925,,     505,,     415,
"Knowledge of languages","          Kabyle",,       0,,       0,,       0,,     530,,     280,,     255,
"Knowledge of languages","          Berber languages; n.i.e.",,       0,,       0,,      10,,     390,,     225,,     165,
"Knowledge of languages","        Cushitic languages",,      40,,      20,,      25,,   34160,,   15155,,   19000,
"Knowledge of languages","          Bilen",,       0,,       0,,       0,,     355,,     200,,     160,
"Knowledge of languages","          Oromo",,      10,,       0,,       0,,    2075,,     905,,    1175,
"Knowledge of languages","          Somali",,      35,,      15,,      15,,   31535,,   13925,,   17610,
"Knowledge of languages","          Cushitic languages; n.i.e.",,       0,,       0,,       0,,     370,,     170,,     205,
"Knowledge of languages","        Semitic languages",,    7055,,    3585,,    3470,,  330315,,  168750,,  161570,
"Knowledge of languages","          Amharic",,      50,,      15,,      30,,   16010,,    7565,,    8445,
"Knowledge of languages","          Arabic",,    6575,,    3360,,    3220,,  246015,,  127015,,  119000,
"Knowledge of languages","          Assyrian Neo-Aramaic",,     110,,      50,,      60,,   17825,,    8775,,    9050,
"Knowledge of languages","          Chaldean Neo-Aramaic",,     130,,      75,,      55,,    6185,,    3045,,    3140,
"Knowledge of languages","          Harari",,       0,,       0,,       0,,    1310,,     660,,     645,
"Knowledge of languages","          Hebrew",,     210,,     105,,     110,,   43255,,   22165,,   21090,
"Knowledge of languages","          Maltese",,     115,,      70,,      45,,    7020,,    3455,,    3570,
"Knowledge of languages","          Tigrigna",,      30,,      20,,      15,,    9385,,    4320,,    5065,
"Knowledge of languages","          Semitic languages; n.i.e.",,      35,,      15,,      20,,    1985,,    1010,,     975,
"Knowledge of languages","        Afro-Asiatic languages; n.i.e.",,      25,,      10,,      15,,    1125,,     535,,     590,
"Knowledge of languages","      Austro-Asiatic languages",,     595,,     270,,     320,,   99830,,   46210,,   53620,
"Knowledge of languages","        Khmer (Cambodian)",,       0,,       0,,       0,,   10045,,    4490,,    5550,
"Knowledge of languages","        Vietnamese",,     590,,     275,,     320,,   90265,,   41965,,   48300,
"Knowledge of languages","        Austro-Asiatic languages; n.i.e.",,       0,,       0,,       0,,      60,,      10,,      50,
"Knowledge of languages","      Austronesian languages",,    2760,,    1020,,    1740,,  249435,,   98295,,  151150,
"Knowledge of languages","        Bikol",,       0,,      10,,       0,,     755,,     340,,     425,
"Knowledge of languages","        Cebuano",,     105,,      30,,      75,,    9475,,    3650,,    5830,
"Knowledge of languages","        Fijian",,       0,,       0,,       0,,     110,,      40,,      65,
"Knowledge of languages","        Hiligaynon",,      15,,      10,,      10,,    3110,,    1205,,    1910,
"Knowledge of languages","        Ilocano",,      95,,      30,,      65,,   15235,,    5940,,    9295,
"Knowledge of languages","        Malagasy",,       0,,      10,,       0,,     215,,     115,,     100,
"Knowledge of languages","        Malay",,     145,,      55,,      90,,    9780,,    4500,,    5280,
"Knowledge of languages","        Pampangan (Kapampangan; Pampango)",,      15,,      10,,       0,,    1935,,     855,,    1080,
